Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 7000.00 1400.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
2 1000.00 1397.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
3 5000.00 1394.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
4 7000.00 1391.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
5 3000.00 1388.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
6 7000.00 1385.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
7 1000.00 1382.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
7 7000.00 1382.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
8 5000.00 1379.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
8 3000.00 1379.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
9 5000.00 1376.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
9 7000.00 1376.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
